Entity,Code,Year,Palmer Drought Severity Index (9-year avg) (NOAA),Palmer Drought Severity Index (annual) (NOAA)
Southwest US,,1895,1.454558591,1.849026832
Southwest US,,1896,1.087350065,0.704426828
Southwest US,,1897,0.615364687,1.191037919
Southwest US,,1898,0.068471382,-0.177896074
Southwest US,,1899,-0.481274834,-0.398169888
Southwest US,,1900,-0.918239196,-1.43943109
Southwest US,,1901,-1.129753821,-1.074803817
Southwest US,,1902,-1.017430651,-1.881902474
Southwest US,,1903,-0.477726649,-0.447920603
Southwest US,,1904,0.520729426,-0.797536302
Southwest US,,1905,1.735052898,2.316923541
Southwest US,,1906,2.620258952,4.006447894
Southwest US,,1907,2.719561957,4.187674655
Southwest US,,1908,2.08857349,1.519302351
Southwest US,,1909,1.23065077,1.55233625
Southwest US,,1910,0.654565413,-1.085431891
Southwest US,,1911,0.532023615,0.801013304
Southwest US,,1912,0.738068435,0.948631501
Southwest US,,1913,1.116917238,0.445492295
Southwest US,,1914,1.53391094,1.587471716
Southwest US,,1915,1.733288893,2.806869643
Southwest US,,1916,1.490974214,2.286936265
Southwest US,,1917,0.969757845,0.539478308
Southwest US,,1918,0.621108095,-0.808486366
Southwest US,,1919,0.652290088,0.77288345
Southwest US,,1920,0.835784049,1.701147606
Southwest US,,1921,0.87042764,0.713798916
Southwest US,,1922,0.66196006,0.686290886
Southwest US,,1923,0.27479777,1.210942569
Southwest US,,1924,-0.120639647,-1.242658209
Southwest US,,1925,-0.323436691,-0.510453971
Southwest US,,1926,-0.316973851,-0.492762308
Southwest US,,1927,-0.292490114,0.605195161
Southwest US,,1928,-0.374573639,-0.796936916
Southwest US,,1929,-0.470473065,-0.564953055
Southwest US,,1930,-0.453219066,-0.702994276
Southwest US,,1931,-0.411539443,-0.552299817
Southwest US,,1932,-0.600229754,0.86704755
Southwest US,,1933,-1.048494041,-0.863141526
Southwest US,,1934,-1.379335621,-3.655085337
Southwest US,,1935,-1.245166385,-0.882462423
Southwest US,,1936,-0.77025147,-0.684940365
Southwest US,,1937,-0.34263237,-0.022678828
Southwest US,,1938,-0.082340605,0.70369808
Southwest US,,1939,0.319955849,-1.159480845
Southwest US,,1940,1.101220239,-0.597866157
Southwest US,,1941,1.86600345,4.884364175
Southwest US,,1942,1.973864495,3.421335127
Southwest US,,1943,1.407214135,0.009883494
Southwest US,,1944,0.699372585,0.455918989
Southwest US,,1945,0.200299004,0.611596597
Southwest US,,1946,-0.074639858,-0.608121045
Southwest US,,1947,-0.186077889,-0.650779499
Southwest US,,1948,-0.261987977,0.281361904
